date,price
15-07-2021,5.88
16-07-2021,5.886
17-07-2021,5.919
18-07-2021,5.919
19-07-2021,5.919
20-07-2021,5.919
21-07-2021,5.903
22-07-2021,5.903
23-07-2021,5.934
24-07-2021,5.934
25-07-2021,5.934
26-07-2021,5.934
27-07-2021,5.957
28-07-2021,5.957
29-07-2021,5.957
30-07-2021,5.98
31-07-2021,5.98
1/8/2021,5.98
2/8/2021,5.98
3/8/2021,6.032
4/8/2021,6.032
5/8/2021,6.011
6/8/2021,5.996
7/8/2021,5.97
8/8/2021,5.97
9/8/2021,5.97
10/8/2021,5.97
11/8/2021,5.929
12/8/2021,5.924
13-08-2021,5.924
14-08-2021,5.924
15-08-2021,5.924
16-08-2021,5.924
17-08-2021,5.924
18-08-2021,5.909
19-08-2021,5.909
20-08-2021,5.903
21-08-2021,5.868
22-08-2021,5.868
23-08-2021,5.868
24-08-2021,5.86
25-08-2021,5.86
26-08-2021,5.86
27-08-2021,5.86
28-08-2021,5.86
29-08-2021,5.86
30-08-2021,5.86
31-08-2021,5.868
1/9/2021,5.903
2/9/2021,5.903
3/9/2021,5.929
4/9/2021,5.929
5/9/2021,5.929
6/9/2021,5.929
7/9/2021,5.955
8/9/2021,5.955
9/9/2021,5.998
10/9/2021,5.998
11/9/2021,5.998
12/9/2021,5.998
13-09-2021,5.998
14-09-2021,5.998
15-09-2021,6.032
16-09-2021,6.042
17-09-2021,6.057
18-09-2021,6.057
19-09-2021,6.057
20-09-2021,6.057
21-09-2021,6.057
22-09-2021,6.021
23-09-2021,6.019
24-09-2021,6.019
25-09-2021,6.019
26-09-2021,6.019
27-09-2021,6.019
28-09-2021,6.027
29-09-2021,6.037
30-09-2021,6.037
1/10/2021,6.044
2/10/2021,6.093
3/10/2021,6.093
4/10/2021,6.093
5/10/2021,6.124
6/10/2021,6.124
7/10/2021,6.155
8/10/2021,6.196
9/10/2021,6.165
10/10/2021,6.165
11/10/2021,6.216
12/10/2021,6.247
13-10-2021,6.278
14-10-2021,6.319
15-10-2021,6.319
16-10-2021,6.288
17-10-2021,6.288
18-10-2021,6.319
19-10-2021,6.36
20-10-2021,6.38
21-10-2021,6.411
22-10-2021,6.411
23-10-2021,6.36
24-10-2021,6.36
25-10-2021,6.38
26-10-2021,6.38
27-10-2021,6.39
28-10-2021,6.421
29-10-2021,6.421
30-10-2021,6.36
31-10-2021,6.36
1/11/2021,6.421
2/11/2021,6.421
3/11/2021,6.421
4/11/2021,6.421
5/11/2021,6.38
6/11/2021,6.319
7/11/2021,6.319
8/11/2021,6.38
9/11/2021,6.38
10/11/2021,6.339
11/11/2021,6.339
12/11/2021,6.298
13-11-2021,6.196
14-11-2021,6.196
15-11-2021,6.257
16-11-2021,6.255
17-11-2021,6.255
18-11-2021,6.255
19-11-2021,6.255
20-11-2021,6.196
21-11-2021,6.196
22-11-2021,6.255
23-11-2021,6.216
24-11-2021,6.206
25-11-2021,6.206
26-11-2021,6.206
27-11-2021,6.155
28-11-2021,6.155
29-11-2021,6.155
30-11-2021,6.062
1/12/2021,6.062
2/12/2021,6.124
3/12/2021,6.124
4/12/2021,6.011
5/12/2021,6.011
6/12/2021,6.055
7/12/2021,6.062
8/12/2021,6.062
9/12/2021,6.062
10/12/2021,6.062
11/12/2021,6.032
12/12/2021,6.032
13-12-2021,6.083
14-12-2021,6.083
15-12-2021,6.083
16-12-2021,6.101
17-12-2021,6.101
18-12-2021,6.042
19-12-2021,6.042
20-12-2021,6.093
21-12-2021,6.093
22-12-2021,6.062
23-12-2021,6.062
24-12-2021,6.062
25-12-2021,6.021
26-12-2021,6.021
27-12-2021,6.062
28-12-2021,6.114
29-12-2021,6.124
30-12-2021,6.16
31-12-2021,6.183
1/1/2022,6.196
2/1/2022,6.216
3/1/2022,6.216
4/1/2022,6.267
5/1/2022,6.267
6/1/2022,6.288
7/1/2022,6.319
8/1/2022,6.319
9/1/2022,6.319
10/1/2022,6.37
11/1/2022,6.401
12/1/2022,6.401
13-01-2022,6.431
14-01-2022,6.431
15-01-2022,6.431
16-01-2022,6.452
17-01-2022,6.472
18-01-2022,6.503
19-01-2022,6.524
20-01-2022,6.565
21-01-2022,6.585
22-01-2022,6.585
23-01-2022,6.595
24-01-2022,6.595
25-01-2022,6.647
26-01-2022,6.647
27-01-2022,6.667
28-01-2022,6.698
29-01-2022,6.698
30-01-2022,6.739
31-01-2022,6.739
1/2/2022,6.739
2/2/2022,6.759
3/2/2022,6.785
4/2/2022,6.79
5/2/2022,6.821
6/2/2022,6.821
7/2/2022,6.841
8/2/2022,6.872
9/2/2022,6.872
10/2/2022,6.903
11/2/2022,6.923
12/2/2022,6.944
13-02-2022,6.944
14-02-2022,6.944
15-02-2022,6.985
16-02-2022,7.005
17-02-2022,7.026
18-02-2022,7.046
19-02-2022,7.046
20-02-2022,7.046
21-02-2022,7.067
22-02-2022,7.067
23-02-2022,7.067
24-02-2022,7.067
25-02-2022,7.108
26-02-2022,7.108
27-02-2022,7.139
28-02-2022,7.139
1/3/2022,7.149
2/3/2022,7.149
3/3/2022,7.169
4/3/2022,7.231
5/3/2022,7.262
6/3/2022,7.262
7/3/2022,7.338
8/3/2022,7.346
9/3/2022,7.477
10/3/2022,7.477
11/3/2022,8.066
12/3/2022,8.123
13-03-2022,8.123
14-03-2022,8.123
15-03-2022,8.123
16-03-2022,8.107
17-03-2022,8.012
18-03-2022,7.91
19-03-2022,7.905
20-03-2022,7.905
21-03-2022,7.905
22-03-2022,7.905
23-03-2022,7.905
24-03-2022,7.9
25-03-2022,7.9
26-03-2022,7.953
27-03-2022,7.964
28-03-2022,7.964
29-03-2022,7.964
30-03-2022,8.01
31-03-2022,7.977
1/4/2022,7.977
2/4/2022,7.925
3/4/2022,7.925
4/4/2022,7.925
5/4/2022,7.874
6/4/2022,7.874
7/4/2022,7.869
8/4/2022,7.854
9/4/2022,7.841
10/4/2022,7.841
11/4/2022,7.841
2/5/2022,7.874
3/5/2022,7.877
4/5/2022,7.907
5/5/2022,7.943
6/5/2022,7.966
7/5/2022,7.982
8/5/2022,8.002
9/5/2022,8.007
10/5/2022,8.043
11/5/2022,8.082
12/5/2022,8.082
13-05-2022,8.097
14-05-2022,8.161
15-05-2022,8.161
16-05-2022,8.161
17-05-2022,8.207
18-05-2022,8.243
19-05-2022,8.251
20-05-2022,8.294
21-05-2022,8.192
22-05-2022,8.192
23-05-2022,8.294
24-05-2022,8.294
25-05-2022,8.333
26-05-2022,8.333
27-05-2022,8.333
28-05-2022,8.238
29-05-2022,8.246
30-05-2022,8.343
31-05-2022,8.412
1/6/2022,8.456
2/6/2022,8.456
3/6/2022,8.456
4/6/2022,8.394
5/6/2022,8.394
6/6/2022,8.53
7/6/2022,8.538
8/6/2022,8.571
9/6/2022,8.61
10/6/2022,8.645
11/6/2022,8.589
12/6/2022,8.589
13-06-2022,8.753
14-06-2022,8.753
15-06-2022,8.776
16-06-2022,8.776
17-06-2022,8.791
18-06-2022,8.712
19-06-2022,8.704
20-06-2022,8.815
21-06-2022,8.815
22-06-2022,8.815
23-06-2022,8.815
24-06-2022,8.815
25-06-2022,8.704
26-06-2022,8.704
27-06-2022,8.815
28-06-2022,8.815
29-06-2022,8.815
30-06-2022,8.815
1/7/2022,8.312
2/7/2022,8.312
3/7/2022,8.312
4/7/2022,8.302
5/7/2022,8.302
6/7/2022,8.302
7/7/2022,8.302
8/7/2022,8.302
9/7/2022,8.302
10/7/2022,8.302
11/7/2022,8.302
12/7/2022,8.302
13-07-2022,8.302
14-07-2022,8.302
15-07-2022,8.271
16-07-2022,8.261
17-07-2022,8.23
18-07-2022,8.225
19-07-2022,8.225
20-07-2022,8.225
21-07-2022,8.077
22-07-2022,8.069
23-07-2022,8.069
24-07-2022,8.069
25-07-2022,8.069
26-07-2022,8.069
27-07-2022,8.02
28-07-2022,8.012
29-07-2022,8.002
30-07-2022,8.002
31-07-2022,8.002
1/8/2022,8.002
2/8/2022,8.002
3/8/2022,7.913
4/8/2022,7.879
5/8/2022,7.871
6/8/2022,7.864
7/8/2022,7.864
8/8/2022,7.779
9/8/2022,7.761
10/8/2022,7.728
11/8/2022,7.71
12/8/2022,7.71
13-08-2022,7.71
14-08-2022,7.71
15-08-2022,7.71
16-08-2022,7.71
17-08-2022,7.677
18-08-2022,7.659
19-08-2022,7.625
20-08-2022,7.608
21-08-2022,7.608
22-08-2022,7.608
23-08-2022,7.608
24-08-2022,7.605
25-08-2022,7.605
26-08-2022,7.631
27-08-2022,7.631
28-08-2022,7.631
29-08-2022,7.631
30-08-2022,7.631
31-08-2022,7.631
1/9/2022,7.605
2/9/2022,7.502
3/9/2022,7.497
4/9/2022,7.497
5/9/2022,7.4
6/9/2022,7.385
7/9/2022,7.385
8/9/2022,7.385
9/9/2022,7.385
10/9/2022,7.356
11/9/2022,7.356
12/9/2022,7.356
13-09-2022,7.356
14-09-2022,7.344
15-09-2022,7.205
16-09-2022,7.19
17-09-2022,7.052
18-09-2022,7.026
19-09-2022,7.026
20-09-2022,6.949
21-09-2022,6.934
22-09-2022,6.846
23-09-2022,6.831
24-09-2022,6.831
25-09-2022,6.831
26-09-2022,6.831
27-09-2022,6.734
28-09-2022,6.708
29-09-2022,6.708
30-09-2022,6.708
1/10/2022,6.708
2/10/2022,6.708
3/10/2022,6.708
4/10/2022,6.708
5/10/2022,6.708
6/10/2022,6.708
7/10/2022,6.708
8/10/2022,6.739
9/10/2022,6.759
10/10/2022,6.759
11/10/2022,6.777
12/10/2022,6.852
13-10-2022,6.872
14-10-2022,6.872
15-10-2022,6.903
16-10-2022,6.903
17-10-2022,6.903
18-10-2022,6.995
19-10-2022,6.995
20-10-2022,6.995
21-10-2022,7.036
22-10-2022,7.067
23-10-2022,7.067
24-10-2022,7.098
25-10-2022,7.098
26-10-2022,7.098
27-10-2022,7.098
28-10-2022,7.149
29-10-2022,7.149
30-10-2022,7.174
31-10-2022,7.174
1/11/2022,7.174
2/11/2022,7.174
3/11/2022,7.18
4/11/2022,7.2
5/11/2022,7.241
6/11/2022,7.241
7/11/2022,7.241
8/11/2022,7.292
9/11/2022,7.323
10/11/2022,7.323
11/11/2022,7.323
12/11/2022,7.344
13-11-2022,7.344
14-11-2022,7.344
15-11-2022,7.364
16-11-2022,7.364
17-11-2022,7.351
18-11-2022,7.323
19-11-2022,7.3
20-11-2022,7.3
21-11-2022,7.282
22-11-2022,7.249
23-11-2022,7.167
24-11-2022,7.167
25-11-2022,7.116
26-11-2022,7.098
27-11-2022,7.098
28-11-2022,7.098
29-11-2022,7.046
30-11-2022,6.921
1/12/2022,6.903
2/12/2022,6.903
3/12/2022,6.903
4/12/2022,6.903
5/12/2022,6.903
6/12/2022,6.767
7/12/2022,6.613
8/12/2022,6.442
9/12/2022,6.442
10/12/2022,6.288
11/12/2022,6.288
12/12/2022,6.288
13-12-2022,6.288
14-12-2022,6.288
15-12-2022,6.288
16-12-2022,6.288
17-12-2022,6.288
18-12-2022,6.288
19-12-2022,6.288
20-12-2022,6.175
21-12-2022,6.175
22-12-2022,6.132
23-12-2022,6.114
24-12-2022,6.114
25-12-2022,6.114
26-12-2022,6.114
27-12-2022,6.114
28-12-2022,6.114
29-12-2022,6.114
30-12-2022,6.114
31-12-2022,6.114
1/1/2023,6.114
2/1/2023,6.472
3/1/2023,6.472
4/1/2023,6.472
5/1/2023,6.472
6/1/2023,6.421
7/1/2023,6.421
8/1/2023,6.421
9/1/2023,6.421
10/1/2023,6.421
11/1/2023,6.421
12/1/2023,6.421
13-01-2023,6.421
14-01-2023,6.421
15-01-2023,6.472
16-01-2023,6.472
17-01-2023,6.472
18-01-2023,6.513
19-01-2023,6.513
20-01-2023,6.565
21-01-2023,6.575
22-01-2023,6.575
23-01-2023,6.616
24-01-2023,6.616
25-01-2023,6.698
26-01-2023,6.698
27-01-2023,6.698
28-01-2023,6.698
29-01-2023,6.698
30-01-2023,6.698
31-01-2023,6.698
1/2/2023,6.698
2/2/2023,6.688
3/2/2023,6.688
4/2/2023,6.688
5/2/2023,6.688
6/2/2023,6.667
7/2/2023,6.667
8/2/2023,6.667
9/2/2023,6.649
10/2/2023,6.649
11/2/2023,6.649
12/2/2023,6.641
13-02-2023,6.641
14-02-2023,6.641
15-02-2023,6.677
16-02-2023,6.698
17-02-2023,6.698
18-02-2023,6.698
19-02-2023,6.698
20-02-2023,6.698
21-02-2023,6.698
22-02-2023,6.677
23-02-2023,6.677
24-02-2023,6.677
25-02-2023,6.677
26-02-2023,6.677
27-02-2023,6.677
28-02-2023,6.677
1/3/2023,6.677
2/3/2023,6.677
3/3/2023,6.718
4/3/2023,6.718
5/3/2023,6.718
6/3/2023,6.718
7/3/2023,6.749
8/3/2023,6.749
9/3/2023,6.79
10/3/2023,6.79
11/3/2023,6.79
12/3/2023,6.79
